id,street,street_from,street_to,verify_upgrade1_year,verify_upgrade1_date,verify_upgrade1_type,verify_upgrade1_comment,clean_upgrade1_date_start,clean_upgrade1_date_end,clean_upgrade1_semester,clean_upgrade1_date_raw_count,clean_upgrade1_date_type,clean_upgrade1_date,clean_upgrade1_date_prepost,clean_upgrade1_date_notes,geometry_wkb
"487",Wellesley St E,Yonge St,Sherbourne St,"2014",Jan - May 2014,PBL,Relevant article: https://www.blogto.com/city/2014/05/how_are_the_new_wellesley_st_bike_lanes_working_out/,2014/01/01 00:00:00,2014-05-31,,"3",range,,,,"MULTILINESTRING ((-79.3846 43.66494, -79.38395 43.66507, -79.38384 43.66509, -79.38338 43.66519, -79.3814 43.66563, -79.38096 43.66572, -79.37835 43.66629, -79.37742 43.66649, -79.37731 43.6665, -79.37727 43.66651, -79.37719 43.66652, -79.37699 43.66647, -79.3768 43.66645, -79.37666 43.66643, -79.3765 43.66643, -79.37631 43.66643, -79.37616 43.66644, -79.37603 43.66646, -79.37585 43.66649, -79.37572 43.66652, -79.37553 43.66659, -79.37535 43.66667, -79.37517 43.66677, -79.375 43.66687, -79.37486 43.66698, -79.37468 43.66709))"
"488",Wellesley St W,Queen's Park Trl,Yonge St,"2014",Fall 2014,PBL,"May 2015 SV: https://www.google.com/maps/@43.6632022,-79.3922936,3a,75y,254.15h,80.13t/data=!3m7!1e1!3m5!1sCrsi_cSsWMjaW4SYdGBE5A!2e0!5s20150501T000000!7i13312!8i6656?entry=ttu",2014/09/01 00:00:00,2014-12-31,,"6",semester,,,,"MULTILINESTRING ((-79.3846 43.66494, -79.38496 43.66486, -79.385 43.66485, -79.38518 43.66481, -79.38541 43.66475, -79.38545 43.66474, -79.38553 43.66473, -79.38718 43.66437, -79.39065 43.66358, -79.3927 43.66316))"
"490",Colborne Lodge Dr,West Rd,Centre Rd,"2015",,PL,Same type after upgrade,,,,,,,,,"MULTILINESTRING ((-79.46475 43.64559, -79.46459 43.64592, -79.46457 43.64601, -79.46458 43.64609, -79.4646 43.64621, -79.46468 43.64646, -79.46486 43.64686, -79.46492 43.64699, -79.46495 43.64709, -79.46495 43.64719, -79.46491 43.64741, -79.46486 43.64775, -79.46487 43.64793, -79.46492 43.64819, -79.465 43.64846, -79.46502 43.64861, -79.46503 43.6487, -79.46502 43.6488, -79.46496 43.64913, -79.46494 43.64922, -79.46484 43.64965, -79.46481 43.64979, -79.46481 43.64984, -79.46481 43.64992, -79.46481 43.64998, -79.46481 43.65005, -79.46481 43.65011, -79.46481 43.65019, -79.46481 43.65025, -79.46481 43.65032, -79.4648 43.65039, -79.4648 43.65046, -79.46479 43.65052, -79.46479 43.65059, -79.46478 43.65066, -79.46478 43.65077, -79.46478 43.65087, -79.46478 43.65098, -79.46477 43.65109, -79.46477 43.65119, -79.46477 43.65129, -79.46476 43.6514, -79.46475 43.6515, -79.46475 43.65157, -79.46474 43.65185, -79.46474 43.65207, -79.46476 43.65224, -79.46477 43.65228, -79.46483 43.65251, -79.46488 43.65265, -79.46517 43.65341))"
"492",Lower Sherbourne St,Front St E,50 M N Queens Quay Blvd East,"2015",Fall 2015,PBL,"Upgrade to PBL 2015, construction almost complete: https://www.google.com/maps/@43.6475931,-79.3666684,3a,75y,2.99h,75.62t/data=!3m7!1e1!3m5!1sNNaTnfycUb-mOSeZ2Tw12w!2e0!5s20150901T000000!7i13312!8i6656?entry=ttu",2015/09/01 00:00:00,2015-12-31,,"2",semester,,,,"MULTILINESTRING ((-79.3657 43.64557, -79.36574 43.64563, -79.36588 43.64589, -79.36596 43.64604, -79.36606 43.64631, -79.3661 43.64637, -79.36613 43.64644, -79.36617 43.64654, -79.36622 43.64664, -79.36627 43.64675, -79.3664 43.64705, -79.36642 43.6471, -79.36647 43.64721, -79.36648 43.64724, -79.36653 43.64733, -79.36659 43.64746, -79.36713 43.64867, -79.3673 43.64905, -79.36789 43.65039))"
"513",Beverley St,College St,Queen St W,"2016",,PL,"PL SINCE 2012, NO UPGRADE SINCE; https://www.google.com/maps/@43.6569236,-79.3952535,3a,75y,21.23h,96.38t/data=!3m7!1e1!3m5!1seYIDqU1_cJ_Na9GZZ7Goag!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DeYIDqU1_cJ_Na9GZZ7Goag%2",,,,,,,,,"MULTILINESTRING ((-79.39216 43.64968, -79.39231 43.65006, -79.39239 43.65025, -79.39242 43.6503, -79.39266 43.65089, -79.39271 43.651, -79.39303 43.65179, -79.3931 43.65194, -79.39344 43.65276, -79.39386 43.65382, -79.39405 43.65427, -79.39428 43.6548, -79.39466 43.65577, -79.39517 43.65697, -79.3959 43.6587))"
"514",Danforth Ave,Cambridge Ave,Broadview Ave,"2017",Mar - Jun 2017,PBL,"Sv sep 2021 2 type of cycle track upgraded from PL: https://www.google.ca/maps/@43.6759036,-79.3605495,3a,75y,73.71h,78.06t/data=!3m7!1e1!3m5!1sdug0qmsR72m6lbRIBOL2_Q!2e0!5s20210901T000000!7i16384!8i8192?entry=ttu; Upgrade to cycle track (bollards), aug",2017/03/01 00:00:00,2017-06-30,,"2",range,,,,"MULTILINESTRING ((-79.36045 43.6759, -79.35942 43.6761, -79.35887 43.6762))"
"634",Lower Simcoe St,Front St W,Queens Quay W,"2016",June-Nov 2016,PBL,"Upgrade to PBL, Jun - Nov 2016: https://www.google.com/maps/@43.6416641,-79.3837323,3a,75y,352.89h,71.97t/data=!3m7!1e1!3m5!1sQvQZDKtipygoXUBnWVrAYg!2e0!5s20161101T000000!7i13312!8i6656?entry=ttu",2016/06/01 00:00:00,2016-11-30,,"1",range,,,,"MULTILINESTRING ((-79.38502 43.64478, -79.38481 43.64428, -79.38462 43.64382, -79.38446 43.64344, -79.38401 43.64239, -79.38368 43.64159, -79.38364 43.6415, -79.38335 43.64067, -79.38332 43.6406, -79.38328 43.6405, -79.38321 43.64038, -79.38319 43.64034, -79.38314 43.64027, -79.38272 43.63951))"
"757",Simcoe St,82.7 M N Front St,Front St W,"2015",,PBL,Upgraded to PBL,,,,,,,,,"MULTILINESTRING ((-79.38502 43.64478, -79.38532 43.64549))"
"763",Bathurst St,Adelaide St W,Adelaide St W,"2017",,PBL,,,,,,,,,,"MULTILINESTRING ((-79.40311 43.64489, -79.40323 43.64519))"
"827",Davenport Rd,Spadina Rd,Madison Ave,"2017",,PL,No change in type,,,,,,,,,"MULTILINESTRING ((-79.40698 43.67773, -79.40813 43.67742))"
"867",Logan Ave,McConnell Ave,Bain Ave,"2017","42979",PL,,,,,"1",,,,Likely not a date,"MULTILINESTRING ((-79.3472 43.67196, -79.3475 43.67267, -79.34773 43.67321, -79.34807 43.67403, -79.34894 43.67613))"
"920",Birmingham St,Islington Ave,Dwight Ave,"2021",Oct - Dec 2021,PBL,"Project Notice: https://www.toronto.ca/wp-content/uploads/2021/04/97eb-21ECS-TI-102LR-info-w3-Birmingham-Dwight-Avenues-Heman-Murrie-Streets-re....pdf ; May 2021 SV: https://www.google.com/maps/@43.6048971,-79.4991716,3a,75y,232.15h,82.19t/data=!3m7!1e1!",2021/10/01 00:00:00,2021-12-31,,"1",range,,,,"MULTILINESTRING ((-79.49901 43.60486, -79.50069 43.6045, -79.50179 43.60424, -79.50294 43.604, -79.50406 43.60376, -79.50461 43.60364, -79.5052 43.60351, -79.50574 43.60339, -79.50576 43.60339, -79.50631 43.60327))"
"962",Wellesley St E,Ontario St,Parliament St,"2014",Jan - May 2014,PBL,"May 2014 SV: https://www.google.com/maps/@43.6680764,-79.3702006,3a,75y,271.28h,84.84t/data=!3m7!1e1!3m5!1s3KcsYsSj1ukLXYxqiH5OxA!2e0!5s20140501T000000!7i13312!8i6656?entry=ttu",2014/01/01 00:00:00,2014-05-31,,"3",range,,,,"MULTILINESTRING ((-79.3722 43.66764, -79.37091 43.66791, -79.3701 43.66809, -79.36975 43.66817, -79.36956 43.66817))"
"1068",Lower Sherbourne St,50 M N Queens Quay Blvd East,Queens Quay Blvd E,"2016",Between 2015 - 2017,PBL,"Upgrade to PBL: https://www.google.com/maps/@43.6453679,-79.365577,3a,90y,10.85h,63.55t/data=!3m7!1e1!3m5!1sPAU_89xRKcRZvLfpCtA9DA!2e0!5s20170801T000000!7i13312!8i6656?entry=ttu",2015/01/01 00:00:00,2017-12-31,,"1",range,,,,"MULTILINESTRING ((-79.36542 43.64518, -79.36547 43.64524, -79.36554 43.64532, -79.36559 43.6454, -79.36564 43.64547, -79.36568 43.64554, -79.3657 43.64557))"
"1069",Bloor St E,Sherbourne St,Parliament St,"2013",,BUF,"Upgrade to BUF between May 2013 and May 2014: https://www.google.com/maps/@43.6720847,-79.3725614,3a,75y,99.32h,86.16t/data=!3m7!1e1!3m5!1s9TSp2D6tsaKyKni0JGs2cw!2e0!5s20140501T000000!7i13312!8i6656?entry=ttu",,,,,,,,,"MULTILINESTRING ((-79.37123 43.67189, -79.37208 43.67198, -79.37283 43.6721, -79.37361 43.67221, -79.37485 43.67233, -79.37539 43.6724, -79.37589 43.67247, -79.37632 43.67247, -79.37685 43.67236))"
"1072",Davenport Rd,Dovercourt Rd,Ossington Ave,"2020",,PL,No changes in type,,,,,,,,,"MULTILINESTRING ((-79.43098 43.67472, -79.43217 43.6746, -79.43262 43.67457, -79.43305 43.67451, -79.43378 43.67441, -79.43465 43.67429))"
"1073",Davenport Rd,St Clarens Ave,Mc Farland Ave,"2020",,PL,No changes in type,,,,,,,,,"MULTILINESTRING ((-79.44211 43.67273, -79.44262 43.67262, -79.44377 43.67238, -79.44455 43.67221, -79.44475 43.67217, -79.4451 43.67209, -79.44562 43.67201, -79.44605 43.67194, -79.44723 43.67173, -79.44749 43.6717))"
"1074",Davenport Rd,Foundry Ave,St Clarens Ave,"2020",,PL,No changes in type,,,,,,,,,"MULTILINESTRING ((-79.44749 43.6717, -79.4483 43.67156, -79.44942 43.67137))"
"1075",Davenport Rd,Bristol Ave,Dovercourt Rd,"2020",,PL,No changes in type,,,,,,,,,"MULTILINESTRING ((-79.43465 43.67429, -79.43593 43.67414, -79.43714 43.67397, -79.43733 43.67396, -79.43747 43.67394, -79.43765 43.67391, -79.43809 43.67379, -79.43835 43.67371, -79.4384 43.67369, -79.43953 43.67332))"
"1076",Davenport Rd,Mc Farland Ave,Bristol Ave,"2020",,PL,No changes in type,,,,,,,,,"MULTILINESTRING ((-79.43953 43.67332, -79.441 43.67299, -79.44186 43.67279, -79.44211 43.67273))"
"1133",Hoskin Ave,St George St,Queens Park Cres W,"2015",Sep - Nov 2015,BUF,"Jun 2016 SV: https://www.google.com/maps/@43.6647334,-79.3953886,3a,75y,89.92h,67.63t/data=!3m7!1e1!3m5!1sigVSSRREEyy-GwbpqB1GpA!2e0!5s20160601T000000!7i13312!8i6656?entry=ttu",2015/09/01 00:00:00,2015-11-30,,"2",range,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39696 43.66444, -79.39603 43.66463, -79.39574 43.66469, -79.3957 43.6647, -79.39422 43.665, -79.3939 43.66502))"
"1139",Colborne Lodge Dr,West Rd,331.3 M N The Queensway,"2015",,PL,Same type after upgrade,,,,,,,,,"MULTILINESTRING ((-79.46517 43.64523, -79.46518 43.64521, -79.46519 43.64519, -79.4652 43.64518, -79.46522 43.64516, -79.46523 43.64514, -79.46524 43.64513, -79.46525 43.64511, -79.46525 43.64509, -79.46526 43.64508, -79.46532 43.64491, -79.46534 43.64476, -79.46534 43.64465, -79.46532 43.64453, -79.46529 43.64443, -79.46525 43.64433, -79.46522 43.64425, -79.46513 43.64413, -79.46505 43.64405, -79.46496 43.64396, -79.46486 43.64388, -79.46481 43.64385, -79.46468 43.64373, -79.46452 43.64361, -79.46429 43.64343, -79.46412 43.64327, -79.46393 43.64311, -79.4638 43.64299, -79.46368 43.64286, -79.46356 43.64274, -79.46337 43.64251, -79.4632 43.64232, -79.46308 43.64219, -79.46303 43.64215, -79.46297 43.64212, -79.46289 43.6421, -79.46282 43.64209, -79.4626 43.64208, -79.46249 43.64207, -79.46236 43.64204, -79.46226 43.642, -79.4622 43.64196, -79.46212 43.6419, -79.4621 43.64186, -79.46208 43.64182))"
"1195",Shuter St,Sherbourne St,River St,"2020",,PBL,,,,,,,,,,"MULTILINESTRING ((-79.37012 43.65616, -79.36973 43.65625, -79.36948 43.6563, -79.36928 43.6563, -79.36903 43.65631, -79.36862 43.65632, -79.36836 43.65633, -79.36815 43.65633, -79.36801 43.65634, -79.36794 43.65634, -79.3676 43.65637, -79.36695 43.6565, -79.36632 43.65665, -79.36566 43.65679, -79.36562 43.6568, -79.365 43.65694, -79.36487 43.65698, -79.3645 43.65705, -79.36385 43.65719, -79.36375 43.65722, -79.36351 43.65727, -79.36348 43.65727, -79.36283 43.65742, -79.3627 43.65745, -79.36238 43.65752, -79.36203 43.6576, -79.3608 43.65787, -79.36062 43.65791, -79.36036 43.65796, -79.36004 43.65806, -79.35966 43.65821, -79.35951 43.6583, -79.35887 43.65868, -79.3582 43.65909, -79.35814 43.65912, -79.35746 43.65952))"
"1196",Bloor St W,Shaw St,Bathurst St,"2018",,PBL,"No changes evident, perhaps small changes, no change in type",,,,,,,,,"MULTILINESTRING ((-79.42327 43.66251, -79.42206 43.66278, -79.42162 43.66287, -79.42091 43.66303, -79.42025 43.66317, -79.41887 43.66347, -79.41842 43.66358, -79.41722 43.66383, -79.41611 43.66407, -79.41599 43.66409, -79.41486 43.66434, -79.41365 43.66462, -79.41244 43.66489, -79.41184 43.665, -79.41121 43.66512, -79.41121 43.66512))"
"1240",Davenport Rd,Ossington Ave,Hector Ave,"2020",,PL,No change in type since install,,,,,,,,,"MULTILINESTRING ((-79.42408 43.67532, -79.42512 43.67511, -79.42536 43.67508, -79.42626 43.67493, -79.42673 43.67486, -79.42716 43.67479, -79.42764 43.67477, -79.42833 43.67473, -79.42869 43.67475, -79.43023 43.67474, -79.43098 43.67472))"
"1243",Wellesley St E,Sherbourne St,Ontario St,"2014",Jan - May 2014,PBL,Relevant article: https://www.blogto.com/city/2014/05/how_are_the_new_wellesley_st_bike_lanes_working_out/,2014/01/01 00:00:00,2014-05-31,,"3",range,,,,"MULTILINESTRING ((-79.37468 43.66709, -79.37378 43.6673, -79.37221 43.66763, -79.3722 43.66764))"
"1268",Richmond St W,Augusta Ave,Brant St,"2015",,PBL,"From a single buffered lane to cycle track with bollards (2014/15) perhaps to finish installation sv: https://www.google.com/maps/@43.6473836,-79.39935,3a,75y,85.06h,62.41t/data=!3m7!1e1!3m5!1sM7gxGbEp2ql38UUFpfgHgg!2e0!5s20150501T000000!7i13312!8i6656?e",,,,,,,,,"MULTILINESTRING ((-79.39866 43.64747, -79.39939 43.64734))"
"1297",Bloor St W,Spadina Ave,Queen's Park,"2018",PBL,PBL,"Upgr same type, no evident changes.",,,,"1",,,,Not a date,"MULTILINESTRING ((-79.40387 43.66666, -79.40342 43.66675, -79.40296 43.66685, -79.40271 43.66691, -79.40228 43.667, -79.40173 43.66712, -79.40154 43.66716, -79.39984 43.66752, -79.39836 43.66783, -79.39738 43.66803, -79.39657 43.66819, -79.39588 43.66833, -79.39506 43.66852, -79.39414 43.66872))"
"1298",Bloor St W,Bathurst St,Spadina Ave,"2019",,PBL,"Cycle track south side: https://www.google.com/maps/@43.6659131,-79.4073783,3a,75y,92.46h,86.1t/data=!3m7!1e1!3m5!1sNVIENRRP2Q8NvaNKF-EYOw!2e0!5s20201001T000000!7i16384!8i8192?entry=ttu",,,,,,,,,"MULTILINESTRING ((-79.41121 43.66512, -79.41059 43.66525, -79.40999 43.66539, -79.40932 43.66553, -79.40908 43.66558, -79.40888 43.66563, -79.40868 43.66568, -79.40806 43.6658, -79.40766 43.66588, -79.40747 43.66591, -79.40702 43.66601, -79.40667 43.66608, -79.40627 43.66616, -79.40564 43.6663, -79.40535 43.66636, -79.40484 43.66646, -79.40452 43.66652, -79.40409 43.66661, -79.40387 43.66666))"
"1305",Woodbine Ave,Kingston Rd,Gerrard St E,"2022",April-May 2022,PBL,"*upgrade occurs beyond time frame of interest for analysis; installation upgrade notice: https://www.toronto.ca/wp-content/uploads/2022/04/94f5-Woodbine-Bike-Lanes-Installation-Notice-Apr-2022.pdf",2022/04/01 00:00:00,2022-05-31,,"1",range,,,Previously had no year,"MULTILINESTRING ((-79.30793 43.67393, -79.30896 43.67646, -79.3093 43.67727, -79.31003 43.67904, -79.31075 43.68078))"
"38",Queens Quay W,Martin Goodman Trl,Bathurst St,"2015",April-Sept 2015,PBL,"PBL upgrade April - Sept 2015: https://www.google.com/maps/@43.6353629,-79.3989952,3a,75y,198.7h,75.12t/data=!3m7!1e1!3m5!1sC257_w9mzx1B9p4M8lMhnw!2e0!5s20150901T000000!7i13312!8i6656?entry=ttu",2015/04/01 00:00:00,2015-09-30,,"1",range,,,,"MULTILINESTRING ((-79.40061 43.63446, -79.39972 43.63495, -79.3992 43.63524, -79.39912 43.63528, -79.39874 43.63548, -79.39837 43.63568))"
"39",Davenport Rd,Cottingham Rd,Macpherson Ave,"2016",,PL,K- no changes since.,,,,,,,,,"MULTILINESTRING ((-79.40369 43.67668, -79.40478 43.67756, -79.40495 43.67767, -79.40507 43.67774, -79.40525 43.67782))"
"40",Elizabeth St,College St,Gerrard St W,"2016",,PL,,,,,,,,,,"MULTILINESTRING ((-79.38642 43.65817, -79.38743 43.66051))"
"69",Boulton Dr,Cottingham Rd,Poplar Plains Rd,"2016",Can't find- google maps,PL,"PL since before 2007; INFR_NO CHANGE",,,,"2",,,,Not a date,"MULTILINESTRING ((-79.40294 43.67728, -79.40349 43.6777, -79.40382 43.67803))"
"396",Boulton Dr,Russel Hill Rd,Cottingham Rd,"2019",Can't find- google maps,PL,"PL since before 2007; INFR_NO CHANGE; fixed painting; https://www.google.com/maps/@43.679489,-79.4040275,3a,75y,178.61h,58.06t/data=!3m7!1e1!3m5!1sEfTxCS4GKOlr5lKTT6gKeg!2e0!5s20190501T000000!7i16384!8i8192",,,,"2",,,,Not a date,"MULTILINESTRING ((-79.40382 43.67803, -79.40388 43.67807, -79.40391 43.6781, -79.40397 43.67818, -79.40404 43.67828, -79.40408 43.67837, -79.40411 43.67848, -79.40413 43.67861, -79.40413 43.67872, -79.40414 43.67886, -79.40412 43.67901, -79.40409 43.67921, -79.40407 43.67934, -79.40403 43.6795, -79.40398 43.67967, -79.4039 43.67981, -79.40383 43.67994, -79.40377 43.68007, -79.40375 43.68018, -79.40374 43.68028, -79.40374 43.68028, -79.40375 43.6804, -79.40376 43.68046, -79.40376 43.68052, -79.40376 43.68058, -79.40376 43.68064, -79.40373 43.6807, -79.40369 43.68074, -79.40363 43.68077, -79.40353 43.68077, -79.40343 43.68077, -79.40337 43.68077, -79.40329 43.68076, -79.4032 43.68079, -79.40315 43.68082, -79.4031 43.68086, -79.40305 43.68089))"
"403",Davenport Rd,Old Weston Rd,Foundry Ave,"2020",,PL,No changes in type,,,,,,,,,"MULTILINESTRING ((-79.44942 43.67137, -79.44947 43.67137, -79.4511 43.6711, -79.45138 43.67104, -79.45145 43.67103, -79.45211 43.67091, -79.4525 43.67085, -79.45326 43.67072, -79.45446 43.67052, -79.45471 43.67049, -79.45502 43.67043, -79.45543 43.67038, -79.4556 43.67036, -79.45579 43.67034, -79.45616 43.67029, -79.45659 43.67025, -79.45673 43.67023, -79.45703 43.67021, -79.4577 43.67015, -79.45834 43.6701, -79.45857 43.67015, -79.45889 43.67024, -79.45954 43.67041, -79.45973 43.67046, -79.4607 43.67069, -79.46131 43.67084, -79.46144 43.67087, -79.46177 43.67093, -79.46219 43.67102, -79.46233 43.67102))"
"481",Sherbourne St,Bloor St E,Front St E,"2013",,PBL,"Upgraded to curb protected, PBL both sides of road. Seen under construiction Oct 2012 from sat imagery, see completed summer 2013. Will put 2013",,,,,,,,,"MULTILINESTRING ((-79.36789 43.65039, -79.36807 43.65083, -79.36826 43.65128, -79.36864 43.65215, -79.36915 43.65338, -79.36928 43.65389, -79.36946 43.65453, -79.36953 43.65472, -79.36958 43.65486, -79.36959 43.65488, -79.37012 43.65616, -79.37103 43.65829, -79.37136 43.65907, -79.37193 43.66045, -79.37203 43.66071, -79.37224 43.66123, -79.37306 43.66319, -79.37395 43.66532, -79.37468 43.66709, -79.37518 43.66825, -79.37539 43.66875, -79.37579 43.66966, -79.37625 43.67079, -79.37645 43.67127, -79.37652 43.67146, -79.37685 43.67236))"
"486",Harbord St,Ossignton Ave,St. George St,"2014",,BUF,"Sv Oct 2014: https://www.google.ca/maps/@43.6588471,-79.4228461,3a,75y,81.87h,90t/data=!3m7!1e1!3m5!1sRjQxW1jDdXi0mzyOhjyhsg!2e0!5s20141001T000000!7i13312!8i6656?entry=ttu; PBL upgrade between Oct 2020 - Jun 2021, SV jun 2021: https://www.google.ca/maps/",,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39874 43.66389, -79.39897 43.66376, -79.39904 43.66368, -79.40009 43.6635, -79.40063 43.66338, -79.40128 43.66324, -79.40211 43.66305, -79.40273 43.66294, -79.4029 43.6629, -79.40308 43.66286, -79.40387 43.6627, -79.40482 43.66249, -79.4054 43.66238, -79.40604 43.66226, -79.40662 43.66214, -79.40722 43.66202, -79.40771 43.66191, -79.40785 43.66189, -79.40854 43.66176, -79.40916 43.66164, -79.40977 43.66151, -79.41037 43.66139, -79.41098 43.66127, -79.41159 43.66114, -79.41222 43.66102, -79.41284 43.66089, -79.41344 43.66076, -79.41401 43.66065, -79.41403 43.66065, -79.41407 43.66064, -79.41467 43.66053, -79.41525 43.66041, -79.41586 43.66028, -79.41643 43.66016, -79.4169 43.66006, -79.41751 43.65993, -79.41806 43.65983, -79.41897 43.65964, -79.41901 43.65964, -79.41958 43.65952, -79.42012 43.6594, -79.42068 43.65928, -79.42127 43.65916, -79.42131 43.65915, -79.42188 43.65904, -79.42247 43.65892, -79.42251 43.65891, -79.42309 43.6588, -79.42368 43.65868, -79.42432 43.65855))"
"487",Wellesley St E,Yonge St,Sherbourne St,"2014",Jan - May 2014,PBL,Relevant article: https://www.blogto.com/city/2014/05/how_are_the_new_wellesley_st_bike_lanes_working_out/,2014/01/01 00:00:00,2014-05-31,,"3",range,,,,"MULTILINESTRING ((-79.3846 43.66494, -79.38395 43.66507, -79.38384 43.66509, -79.38338 43.66519, -79.3814 43.66563, -79.38096 43.66572, -79.37835 43.66629, -79.37742 43.66649, -79.37731 43.6665, -79.37727 43.66651, -79.37719 43.66652, -79.37699 43.66647, -79.3768 43.66645, -79.37666 43.66643, -79.3765 43.66643, -79.37631 43.66643, -79.37616 43.66644, -79.37603 43.66646, -79.37585 43.66649, -79.37572 43.66652, -79.37553 43.66659, -79.37535 43.66667, -79.37517 43.66677, -79.375 43.66687, -79.37486 43.66698, -79.37468 43.66709))"
"488",Wellesley St W,Queen's Park Trl,Yonge St,"2014",Fall 2014,PBL,"May 2015 SV: https://www.google.com/maps/@43.6632022,-79.3922936,3a,75y,254.15h,80.13t/data=!3m7!1e1!3m5!1sCrsi_cSsWMjaW4SYdGBE5A!2e0!5s20150501T000000!7i13312!8i6656?entry=ttu",2014/09/01 00:00:00,2014-12-31,,"6",semester,,,,"MULTILINESTRING ((-79.3846 43.66494, -79.38496 43.66486, -79.385 43.66485, -79.38518 43.66481, -79.38541 43.66475, -79.38545 43.66474, -79.38553 43.66473, -79.38718 43.66437, -79.39065 43.66358, -79.3927 43.66316))"
"490",Colborne Lodge Dr,West Rd,Centre Rd,"2015",,PL,Same type after upgrade,,,,,,,,,"MULTILINESTRING ((-79.46475 43.64559, -79.46459 43.64592, -79.46457 43.64601, -79.46458 43.64609, -79.4646 43.64621, -79.46468 43.64646, -79.46486 43.64686, -79.46492 43.64699, -79.46495 43.64709, -79.46495 43.64719, -79.46491 43.64741, -79.46486 43.64775, -79.46487 43.64793, -79.46492 43.64819, -79.465 43.64846, -79.46502 43.64861, -79.46503 43.6487, -79.46502 43.6488, -79.46496 43.64913, -79.46494 43.64922, -79.46484 43.64965, -79.46481 43.64979, -79.46481 43.64984, -79.46481 43.64992, -79.46481 43.64998, -79.46481 43.65005, -79.46481 43.65011, -79.46481 43.65019, -79.46481 43.65025, -79.46481 43.65032, -79.4648 43.65039, -79.4648 43.65046, -79.46479 43.65052, -79.46479 43.65059, -79.46478 43.65066, -79.46478 43.65077, -79.46478 43.65087, -79.46478 43.65098, -79.46477 43.65109, -79.46477 43.65119, -79.46477 43.65129, -79.46476 43.6514, -79.46475 43.6515, -79.46475 43.65157, -79.46474 43.65185, -79.46474 43.65207, -79.46476 43.65224, -79.46477 43.65228, -79.46483 43.65251, -79.46488 43.65265, -79.46517 43.65341))"
"492",Lower Sherbourne St,Front St E,50 M N Queens Quay Blvd East,"2015",Fall 2015,PBL,"Upgrade to PBL 2015, construction almost complete: https://www.google.com/maps/@43.6475931,-79.3666684,3a,75y,2.99h,75.62t/data=!3m7!1e1!3m5!1sNNaTnfycUb-mOSeZ2Tw12w!2e0!5s20150901T000000!7i13312!8i6656?entry=ttu",2015/09/01 00:00:00,2015-12-31,,"2",semester,,,,"MULTILINESTRING ((-79.3657 43.64557, -79.36574 43.64563, -79.36588 43.64589, -79.36596 43.64604, -79.36606 43.64631, -79.3661 43.64637, -79.36613 43.64644, -79.36617 43.64654, -79.36622 43.64664, -79.36627 43.64675, -79.3664 43.64705, -79.36642 43.6471, -79.36647 43.64721, -79.36648 43.64724, -79.36653 43.64733, -79.36659 43.64746, -79.36713 43.64867, -79.3673 43.64905, -79.36789 43.65039))"
"513",Beverley St,College St,Queen St W,"2016",,PL,"PL SINCE 2012, NO UPGRADE SINCE; https://www.google.com/maps/@43.6569236,-79.3952535,3a,75y,21.23h,96.38t/data=!3m7!1e1!3m5!1seYIDqU1_cJ_Na9GZZ7Goag!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DeYIDqU1_cJ_Na9GZZ7Goag%2",,,,,,,,,"MULTILINESTRING ((-79.39216 43.64968, -79.39231 43.65006, -79.39239 43.65025, -79.39242 43.6503, -79.39266 43.65089, -79.39271 43.651, -79.39303 43.65179, -79.3931 43.65194, -79.39344 43.65276, -79.39386 43.65382, -79.39405 43.65427, -79.39428 43.6548, -79.39466 43.65577, -79.39517 43.65697, -79.3959 43.6587))"
"514",Danforth Ave,Cambridge Ave,Broadview Ave,"2017",Mar - Jun 2017,PBL,"Sv sep 2021 2 type of cycle track upgraded from PL: https://www.google.ca/maps/@43.6759036,-79.3605495,3a,75y,73.71h,78.06t/data=!3m7!1e1!3m5!1sdug0qmsR72m6lbRIBOL2_Q!2e0!5s20210901T000000!7i16384!8i8192?entry=ttu; Upgrade to cycle track (bollards), aug",2017/03/01 00:00:00,2017-06-30,,"2",range,,,,"MULTILINESTRING ((-79.36045 43.6759, -79.35942 43.6761, -79.35887 43.6762))"
"634",Lower Simcoe St,Front St W,Queens Quay W,"2016",June-Nov 2016,PBL,"Upgrade to PBL, Jun - Nov 2016: https://www.google.com/maps/@43.6416641,-79.3837323,3a,75y,352.89h,71.97t/data=!3m7!1e1!3m5!1sQvQZDKtipygoXUBnWVrAYg!2e0!5s20161101T000000!7i13312!8i6656?entry=ttu",2016/06/01 00:00:00,2016-11-30,,"1",range,,,,"MULTILINESTRING ((-79.38502 43.64478, -79.38481 43.64428, -79.38462 43.64382, -79.38446 43.64344, -79.38401 43.64239, -79.38368 43.64159, -79.38364 43.6415, -79.38335 43.64067, -79.38332 43.6406, -79.38328 43.6405, -79.38321 43.64038, -79.38319 43.64034, -79.38314 43.64027, -79.38272 43.63951))"
"757",Simcoe St,82.7 M N Front St,Front St W,"2015",,PBL,Upgraded to PBL,,,,,,,,,"MULTILINESTRING ((-79.38502 43.64478, -79.38532 43.64549))"
